link user,user,waktu posting,komen,likes
https://www.instagram.com/awbimax/,awbimax,11h,Caper banget!,667 likes
https://www.instagram.com/meysna__/,meysna__,6h,Preeeetttttt,51 likes
https://www.instagram.com/choqi_isyraqi/,choqi_isyraqi,1d,"Mau tanya, kalau jadi pejabat kan ada cek kesehatan ya? Sempet dirontgen gak ya, buat ngecek hatinya ada apa enggak","1,038 likes"
https://www.instagram.com/deasyfillah/,deasyfillah,5h,Pak kita udh pinter pa…. Bapa yang belum,29 likes
https://www.instagram.com/pendakiindonesia/,pendakiindonesia,1d,Hidupmu tenang pak? Tenteram? Yakin?,430 likes
https://www.instagram.com/anindythaarsa/,anindythaarsa,5h,Merindinkk udah ah pak malu.,23 likes
https://www.instagram.com/fianiadila/,fianiadila,1d,"Buu jangan percaya buu, itu lagi acting🙏🏻",36 likes
https://www.instagram.com/yogitaama/,yogitaama,8h,Keren bgt pak yg bikin konten ini sampe bikin bpk bawak beras 1 karung hahhahahahaha satu karung doang?? Itu ajudan dan orang sekitar nya  gk ikut bantuin angkat beras juga???,25 likes
https://www.instagram.com/ekorore/,ekorore,17h,Pemeran aktor terbaik jatuh kepadaaaaaaaaaaaaaaaaa,36 likes
https://www.instagram.com/rdhrmdhn11/,rdhrmdhn11,22h,Foto sama gelondongan kayunya mana pak?,700 likes
https://www.instagram.com/l.c.l90an/,l.c.l90an,21h,Ngapain manggul karung?! Harusnya manggul kayu GLONDONGAN itu!,500 likes
https://www.instagram.com/ronnipahlevi/,ronnipahlevi,18h,SIBUK NGONTEN ANJIR !,413 likes
https://www.instagram.com/adhitbagus/,adhitbagus,17h,Mic kecilnya keliatan pak 😢,4 likes
https://www.instagram.com/barko_chan/,barko_chan,1d,"Yakali seorang Mentri ngangkat2 beras sendirian, ngapain atuh tugas protokol dan kroni-kroninya wkwk",760 likes
https://www.instagram.com/hypernecrotoxin/,hypernecrotoxin,9h,Ludahin cuih cuih cuihh,145 likes
https://www.instagram.com/rendy.mufti/,rendy.mufti,1d,Gimmicknya gak kena pa,413 likes
